location,property_type,bedrooms,bathrooms,size_sqft,amenities,price_kes,listing_date
Kileleshwa,Apartment,2,2,1453.14,"Parking (1), Garden",12700000,2026-02-20
Kileleshwa,Apartment,2,2,1463.9,"Parking (1), Garden",12800000,2026-02-20
Westlands,Apartment,2,2,968.76,Parking (1),14000000,2026-02-20
Westlands,Apartment,1,1,753.48,Parking (1),9200000,2026-02-20
Westlands,Apartment,1,1,721.19,Parking (1),9000000,2026-02-20
Spring Valley,Townhouse,5,6,904.18,Parking (3),65000000,2026-02-20
Lavington,Apartment,3,4,8406.68,Parking (2),30000000,2026-02-20
Westlands,Apartment,2,2,96.88,Parking (2),14000000,2026-02-20
Spring Valley,Apartment,3,5,3250.73,Parking (2),30000000,2026-02-20
Kileleshwa,Apartment,3,4,2206.62,Parking (2),24000000,2026-02-20
Kilimani,Apartment,4,4,129.17,Parking (2),25000000,2026-02-20
Kilimani,Apartment,2,2,796.54,Parking (7),7600000,2026-02-20
Syokimau,Apartment,3,4,656.6,Parking (2),12500000,2026-02-20
Westlands,Apartment,2,3,1345.5,Parking (1),13900000,2026-02-20
Westlands,Apartment,2,3,1345.5,Parking (1),13900000,2026-02-20
Kileleshwa,Apartment,1,1,710.42,Parking (1),7000000,2026-02-20
Kileleshwa,Apartment,1,1,699.66,Parking (1),6900000,2026-02-20
Kilimani,Apartment,3,4,1959.05,Parking (2),24000000,2026-02-20
Kilimani,Apartment,3,4,1862.17,Parking (2),22000000,2026-02-20
Kilimani,Apartment,2,2,796.54,Parking (7),7600000,2026-02-20
Kilimani,Apartment,2,2,796.54,Parking (7),7600000,2026-02-20
Kilimani,Apartment,2,2,796.54,Parking (7),7600000,2026-02-20
Kilimani,Apartment,2,2,796.54,Parking (7),7600000,2026-02-20
Kilimani,Apartment,2,2,796.54,Parking (7),7600000,2026-02-20
Kilimani,Apartment,2,2,807.3,Parking (7),7600000,2026-02-20
